id,descripcionMaterial,proveedor,centroAbastecedor,almacen,ltReal,diasInvCantidadDefinitiva,pedidoHoy,estado,alertaStock,codigoMaterial,estadoCompraSugerida
1,CREMA AVELLANAS CON CACAO NUZART 350 GRS,IMPORTADOS,6A01,900,5,,123,oc_generada,,12000285,[object Object]
2,ACEITE DE OLIVA EXTRA VIRGEN 500 ML,PROVEEDOR LOCAL,6A01,900,3,,50,oc_generada,,12000290,[object Object]
